informal;formal
bohooooooong;bohong
nenagis;menangis
yg;yang
byr;bayar
asa;ada
tdk;tidak
bs;bisa
sndri;sendiri
kpentingan;kepentingan
rakyar;rakyat
shopi;shopee
krna;karena
tlah;telah
psjsk;pajak
beepuluh;berpuluh
tshun;tahun
prezidene;presiden
ngramplok;ngerampok
jokowir;jokowi
wowo;prabowo
ples;plus
mines;minus
ttp;tetap
krn;karena
pata;para
brg;barang
naok;naik
nggak;tidak
smp;sampai
trilyun;triliun
kpd;kepada
disselwengkan;diselewengkan
jagan;jangan
ngk;tidak
rkyt;rakyat
gua;saya
masak;masa
dgn;dengan
utk;untuk
olh;oleh
dn;dan
udah;sudah
indo;indonesia
gk;tidak
anjrit;anjir
wareng;kenyang
gak;tidak
kalo;kalau
ad;ada
dri;dari
koropsi;korupsi
bnyak;banyak
memras;memeras
ngenes;sedih
liatnya;lihatnya
elu;kamu
negri;negeri
aja;saja
udh;sudah
mulyono;jokowi
tuh;itu
org;orang
lu;kamu
plush;plus
blm;belum
kalin;kalian
kerugiab;kerugian
ndak;tidak
pa;apa
tp;tapi
buk;ibu
jln;jalan
jgn;jangan
kog;kok
remug;remuk
boooooohoooong;bohong
mul;sri mulyani
tae;tai
naek;naik
kagak;tidak
peusahan;perusahaan
caina;china
msyarakat;masyarakat
sampe;sampai
tiap;setiap
perhtian;perhatian
ngga;tidak
gitu;begitu
rb;ribu
masrakat;masyarakat
psngn;pasangan
mkn;makan
mk;maka
brpkr;berpikir
sblm;sebelum
pngush;pengusaha
pluk;plus
slruh;seluruh
tnga;tenaga
krjamu;kerjamu
karywanmu;karyawanmu
cetklah;cetaklah
sbanyk;sebanyak
banyknya;banyaknya
sdr²;saudara
kdpan;kedepan
klparan;kelaparan
thn;tahun
siap²;siap-siap
pjbt;pejabat
rkyat;rakyat
kcil;kecil
akn;akan
mmerdekakan;memerdekakan
khidupn;kehidupan
kls;kelas
menengh;menengah
ats;atas
sdh;sudah
kpd;kepada
besar²an;besar
slirh;seluruh
slamat;selamat
datng;datang
th;tahun
jdi;jadi
ngra;negara
trmiskin;termiskin
kau;kamu
tak;tidak
gua;saya
lepassss;lepas
ingkarjaji;ingkar janji
meraja;merajalela
